char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Father Christmas,Vernon Dursley,17,False,True,False,False
Cho Chang,Igor Karkaroff,17,False,False,False,True
Colin Creevey,Hedwig,17,False,False,False,True
Father Christmas,Rita Skeeter,17,False,True,False,False
Marcus Flint,Sirius Black,17,True,False,False,False
Marcus Flint,Tom Riddle,17,False,False,False,True
Father Christmas,Peter Pettigrew,17,False,True,False,False
Cho Chang,Lucius Malfoy,17,False,False,False,True
Vernon Dursley,William Weasley,17,False,False,False,True
Minerva McGonagall,Pigwidgeon,17,False,False,False,True
Cuthbert Binns,Rubeus Hagrid,17,False,False,False,True
Dean Thomas,Olympe Maxime,17,False,False,False,True
Ernest Macmillan,Luna Lovegood,17,False,False,False,True
Remus Lupin,Rita Skeeter,17,False,False,False,True
Remus Lupin,Rolanda Hooch,17,False,False,False,True
Argus Filch,Ernest Macmillan,17,False,False,False,True
Fat Lady,Poppy Pomfrey,17,False,False,False,True
Roger Davies,Salazar Slytherin,17,False,True,False,False
Alastor Moody,Peeves,17,False,False,False,True
